"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"RSM00027491","1964-07","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","11",",I","7",",I","1",",I","","","","","","","","","","","","","","","","","19640717",",,I","","","","","","","29.1",",,I,17,","","","","","","","89.2",",,,I","","","","","",""
"RSM00027491","1964-08","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","7",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19640812",",,I","","","","","","","15.0",",,I,12,","","","","","","","44.0",",,,I","","","","","",""
"RSM00027491","1964-09","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","11",",I","3",",I","0",",I","","","","","","","","","","","","","","","","","19640914",",,I","","","","","","","8.0",",,I,14,","","","","","","","31.1",",,,I","","","","","",""
"RSM00027491","1964-11","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","18","1,I","3","1,I","0","1,I","","","","","","","","","","","","","","","","","19641117",",1,I","","","","","","","6.1","1,,I,17,","","","","","","","29.4","1,,,I","","","","","",""
"RSM00027491","1964-12","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","15",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19641220",",,I","","","","","","","7.7",",,I,20,","","","","","","","38.5",",,,I","","","","","",""
"RSM00027491","1965-01","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","15","2,I","6","2,I","0","2,I","","","","","","","","","","","","","","","","","19650105",",2,I","","","","","","","6.1","2,,I,05,","","","","","","","30.7","2,,,I","","","","","",""
"RSM00027491","1965-02","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","15","2,I","2","2,I","0","2,I","","","","","","","","","","","","","","","","","19650224",",2,I","","","","","","","3.9","2,,I,24,","","","","","","","19.9","2,,,I","","","","","",""
"RSM00027491","1965-03","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","7","2,I","0","2,I","0","2,I","","","","","","","","","","","","","","","","","19650314",",2,I","","","","","","","1.2","2,,I,14,","","","","","","","4.7","2,,,I","","","","","",""
"RSM00027491","1965-04","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","9","1,I","5","1,I","0","1,I","","","","","","","","","","","","","","","","","19650402",",1,I","","","","","","","15.3","1,,I,02,","","","","","","","39.8","1,,,I","","","","","",""
"RSM00027491","1965-05","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","18",",I","9",",I","1",",I","","","","","","","","","","","","","","","","","19650520",",,I","","","","","","","30.0",",,I,20,","","","","","","","121.1",",,,I","","","","","",""
"RSM00027491","1965-06","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","14","2,I","6","2,I","1","2,I","","","","","","","","","","","","","","","","","19650626",",2,I","","","","","","","29.6","2,,I,26,","","","","","","","75.9","2,,,I","","","","","",""
"RSM00027491","1965-07","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","13","2,I","6","2,I","0","2,I","","","","","","","","","","","","","","","","","19650728",",2,I","","","","","","","21.7","2,,I,28,","","","","","","","70.0","2,,,I","","","","","",""
"RSM00027491","1965-08","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","13",",I","8",",I","0",",I","","","","","","","","","","","","","","","","","19650824",",,I","","","","","","","18.8",",,I,24,","","","","","","","65.2",",,,I","","","","","",""
"RSM00027491","1965-09","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","9",",I","6",",I","0",",I","","","","","","","","","","","","","","","","","19650924",",,I","","","","","","","17.9",",,I,24,","","","","","","","60.5",",,,I","","","","","",""
"RSM00027491","1965-12","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","13","4,I","3","4,I","0","4,I","","","","","","","","","","","","","","","","","19651209",",4,I","","","","","","","5.6","4,,I,09,","","","","","","","24.3","4,,,I","","","","","",""
"RSM00027491","1966-03","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","15","2,I","1","2,I","0","2,I","","","","","","","","","","","","","","","","","19660306",",2,I","","","","","","","2.9","2,,I,06,","","","","","","","17.6","2,,,I","","","","","",""
"RSM00027491","1966-04","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","9","1,I","3","1,I","0","1,I","","","","","","","","","","","","","","","","","19660424",",1,I","","","","","","","9.0","1,,I,24,","","","","","","","22.7","1,,,I","","","","","",""
"RSM00027491","1966-05","57.0","48.733","143.0","NOVYJ TOR JAL, RS","","","11","4,I","3","4,I","0","4,I","","","","","","","","","","","","","","","","","19660506",",4,I","","","","","","","6.9","4,,I,06,","","","","","","","20.6","4,,,I","","","","","",""
