"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KYHS0001","2014-08","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","13",",N","8",",N","2",",N","","","","","","","","","20140829",",,N","","","","","55.6",",,N,29,","163.6",",,,N","",""
"US1KYHS0001","2014-11","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","6",",N","5",",N","1",",N","","","","","","","","","20141124",",,N","","","","","39.9",",,N,24,","72.0",",,,N","",""
"US1KYHS0001","2014-12","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","14",",N","9",",N","0",",N","","","0","2,N","","","20141231","+,2,N","20141206",",,N","","","0","2,,N,31,+","22.1",",,N,06,","87.3",",,,N","0","2,,,N"
"US1KYHS0001","2015-01","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","11",",N","4",",N","1",",N","","","0","1,N","","","20150127",",1,N","20150104",",,N","","","13","1,,N,27,","25.7",",,N,04,","68.4",",,,N","16","1,,,N"
"US1KYHS0001","2015-03","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","14",",N","8",",N","2",",N","6","1,N","1",",N","20150305",",1,N","20150305",",,N","20150304",",,N","165","1,,N,05,","165",",,N,05,","57.2",",,N,04,","181.8",",,,N","165",",,,N"
"US1KYHS0001","2015-04","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","14",",N","10",",N","1",",N","","","","","","","","","20150403",",,N","","","","","36.6",",,N,03,","188.0",",,,N","",""
"US1KYHS0001","2015-05","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","12",",N","10",",N","0",",N","","","","","","","","","20150525",",,N","","","","","17.3",",,N,25,","90.6",",,,N","",""
"US1KYHS0001","2015-06","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","16",",N","11",",N","2",",N","","","","","","","","","20150620",",,N","","","","","72.6",",,N,20,","158.9",",,,N","",""
"US1KYHS0001","2015-07","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","12",",N","7",",N","1",",N","","","","","","","","","20150708",",,N","","","","","28.7",",,N,08,","92.9",",,,N","",""
"US1KYHS0001","2015-09","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","5","1,N","3","1,N","0","1,N","","","","","","","","","20150929",",1,N","","","","","22.4","1,,N,29,","47.0","1,,,N","",""
"US1KYHS0001","2015-10","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","9",",N","5",",N","1",",N","","","","","","","","","20151028",",,N","","","","","58.2",",,N,28,","95.2",",,,N","",""
"US1KYHS0001","2015-11","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","12",",N","9",",N","2",",N","","","","","","","","","20151106",",,N","","","","","31.8",",,N,06,","146.4",",,,N","",""
"US1KYHS0001","2015-12","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","17",",N","9",",N","2",",N","","","","","","","","","20151228",",,N","","","","","46.7",",,N,28,","155.2",",,,N","",""
"US1KYHS0001","2016-01","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","7",",N","4",",N","1",",N","","","3",",N","","","20160120",",,N","20160110",",,N","","","74",",,N,20,","38.1",",,N,10,","53.3",",,,N","204",",,,N"
"US1KYHS0001","2016-02","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","11",",N","5",",N","2",",N","","","2","3,N","","","20160215",",3,N","20160203",",,N","","","56","3,,N,15,","43.4",",,N,03,","95.1",",,,N","105","3,,,N"
"US1KYHS0001","2016-03","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","14","1,N","8","1,N","3","1,N","","","","","","","","","20160310",",1,N","","","","","39.9","1,,N,10,","152.6","1,,,N","",""
"US1KYHS0001","2016-04","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","10","2,N","9","2,N","1","2,N","","","","","","","","","20160428",",2,N","","","","","66.3","2,,N,28,","164.2","2,,,N","",""
"US1KYHS0001","2016-05","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","14","1,N","11","1,N","1","1,N","","","","","","","","","20160512",",1,N","","","","","41.9","1,,N,12,","121.3","1,,,N","",""
"US1KYHS0001","2016-06","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","10",",N","6",",N","1",",N","","","","","","","","","20160627",",,N","","","","","51.8",",,N,27,","115.6",",,,N","",""
"US1KYHS0001","2016-07","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","17","1,N","11","1,N","3","1,N","","","","","","","","","20160713",",1,N","","","","","54.1","1,,N,13,","238.6","1,,,N","",""
"US1KYHS0001","2016-08","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","13","1,N","7","1,N","0","1,N","","","","","","","","","20160815",",1,N","","","","","21.8","1,,N,15,","85.6","1,,,N","",""
"US1KYHS0001","2016-09","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","8","3,N","6","3,N","1","3,N","","","","","","","","","20160909",",3,N","","","","","29.7","3,,N,09,","74.4","3,,,N","",""
"US1KYHS0001","2016-11","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","10",",N","5",",N","1",",N","","","","","","","","","20161129",",,N","","","","","30.2",",,N,29,","67.8",",,,N","",""
"US1KYHS0001","2016-12","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","11","2,N","7","2,N","1","2,N","","","","","","","","","20161227",",2,N","","","","","33.3","2,,N,27,","123.1","2,,,N","",""
"US1KYHS0001","2017-01","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","15",",N","8",",N","0",",N","","","","","","","","","20170111",",,N","","","","","18.5",",,N,11,","94.5",",,,N","",""
"US1KYHS0001","2017-02","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","9",",N","3",",N","0",",N","","","","","","","","","20170219",",,N","","","","","8.9",",,N,19,","22.2",",,,N","",""
"US1KYHS0001","2017-03","37.8339","-87.584","118.9","HENDERSON 0.4 SSW, KY US","12","1,N","8","1,N","1","1,N","","","","","","","","","20170307",",1,N","","","","","25.9","1,,N,07,","103.8","1,,,N","",""
